# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/D45_1.txt" "align/D45_1.bam" 
Geneid	Chr	Start	End	Strand	Length	align/D45_1.bam
SCO2028	NC_003888.3	2177792	2179321	+	1530	823
SCO2029	NC_003888.3	2179318	2180595	+	1278	179
SCO2030	NC_003888.3	2180592	2181770	+	1179	212
SCO2031	NC_003888.3	2181758	2183161	+	1404	121
SCO2032	NC_003888.3	2183119	2184333	+	1215	283
SCO2033	NC_003888.3	2184330	2185154	+	825	203
SCO2034	NC_003888.3	2185228	2186259	-	1032	1941
SCO2035	NC_003888.3	2186336	2187163	-	828	1625
SCO2036	NC_003888.3	2187211	2188026	-	816	565
SCO2037	NC_003888.3	2188023	2189306	-	1284	1046
SCO2038	NC_003888.3	2189421	2189612	-	192	372
SCO2039	NC_003888.3	2189633	2190442	-	810	2152
SCO2040	NC_003888.3	2190560	2191006	-	447	664
SCO2041	NC_003888.3	2191109	2191360	-	252	1525
SCO2042	NC_003888.3	2191505	2192140	-	636	446
SCO2043	NC_003888.3	2192224	2193732	-	1509	557
SCO2044	NC_003888.3	2193744	2194130	-	387	140
SCO2045	NC_003888.3	2194212	2194847	+	636	1465
SCO2046	NC_003888.3	2194858	2196012	-	1155	763
SCO2047	NC_003888.3	2196122	2196709	-	588	204
SCO2048	NC_003888.3	2196793	2197548	-	756	760
SCO2049	NC_003888.3	2197545	2197949	-	405	505
SCO2050	NC_003888.3	2197966	2198688	-	723	890
SCO2051	NC_003888.3	2198706	2199374	-	669	626
SCO2052	NC_003888.3	2199539	2200132	-	594	640
SCO2053	NC_003888.3	2200129	2201238	-	1110	951
SCO2054	NC_003888.3	2201235	2202560	-	1326	1632
SCO2055	NC_003888.3	2202760	2204337	+	1578	728
SCO2056	NC_003888.3	2204605	2205735	+	1131	110
SCO2057	NC_003888.3	2205747	2206487	+	741	294
SCO2058	NC_003888.3	2206501	2207010	+	510	212
SCO2059	NC_003888.3	2207142	2207858	-	717	359
SCO2060	NC_003888.3	2207893	2208813	-	921	145
SCO2061	NC_003888.3	2208825	2209799	-	975	350
SCO2062	NC_003888.3	2209967	2211178	-	1212	1357
SCO2063	NC_003888.3	2211403	2211570	+	168	1316
SCO2064	NC_003888.3	2211637	2215176	-	3540	1994
SCO2065	NC_003888.3	2215379	2216719	+	1341	353
SCO2066	NC_003888.3	2216806	2217516	+	711	399
SCO2067	NC_003888.3	2217614	2218414	+	801	460
SCO2068	NC_003888.3	2218545	2220200	+	1656	408
SCO2069	NC_003888.3	2220185	2220775	-	591	339
SCO2070	NC_003888.3	2220881	2222029	+	1149	263
SCO2071	NC_003888.3	2222051	2223637	-	1587	373
SCO2072	NC_003888.3	2223726	2224208	-	483	133
SCO2073	NC_003888.3	2224211	2225155	-	945	857
SCO2074	NC_003888.3	2225281	2225895	-	615	1310
SCO2075	NC_003888.3	2225964	2226683	-	720	3140
SCO2076	NC_003888.3	2227237	2230380	+	3144	1264
SCO2077	NC_003888.3	2230582	2231778	-	1197	7965
SCO2078	NC_003888.3	2231834	2232118	-	285	1977
SCO2079	NC_003888.3	2232200	2232841	-	642	3534
SCO2080	NC_003888.3	2232970	2233689	-	720	475
SCO2081	NC_003888.3	2233696	2234424	-	729	899
SCO2082	NC_003888.3	2234421	2235620	-	1200	7539
SCO2083	NC_003888.3	2235909	2236703	-	795	372
SCO2084	NC_003888.3	2236729	2237823	-	1095	1200
SCO2085	NC_003888.3	2237830	2239200	-	1371	857
SCO2086	NC_003888.3	2239278	2240693	-	1416	859
SCO2087	NC_003888.3	2240702	2241793	-	1092	843
SCO2088	NC_003888.3	2241793	2243208	-	1416	2076
SCO2089	NC_003888.3	2243269	2244789	-	1521	1705
SCO2090	NC_003888.3	2244997	2246961	-	1965	609
SCO2091	NC_003888.3	2246958	2247578	-	621	286
SCO2092	NC_003888.3	2247685	2248617	-	933	523
SCO2093	NC_003888.3	2249114	2249617	+	504	1871
SCO2094	NC_003888.3	2249934	2250947	+	1014	2002
SCO2095	NC_003888.3	2250944	2252308	+	1365	925
SCO2096	NC_003888.3	2252305	2254698	+	2394	1185
SCO2097	NC_003888.3	2254850	2255257	-	408	5074
SCO2098	NC_003888.3	2255534	2256349	-	816	712
SCO2099	NC_003888.3	2256540	2257046	+	507	1219
SCO2100	NC_003888.3	2257287	2257916	+	630	1814
SCO2101	NC_003888.3	2258402	2259922	+	1521	467
SCO2102	NC_003888.3	2259944	2260936	-	993	1429
SCO2103	NC_003888.3	2260993	2261916	-	924	1425
SCO2104	NC_003888.3	2262055	2262726	-	672	431
SCO2105	NC_003888.3	2262881	2263246	-	366	782
SCO2106	NC_003888.3	2263288	2264511	-	1224	211
SCO2107	NC_003888.3	2264828	2266033	+	1206	557
SCO2108	NC_003888.3	2266030	2266230	+	201	81
SCO2109	NC_003888.3	2266233	2267027	+	795	322
SCO2110	NC_003888.3	2267186	2269189	+	2004	2102
SCO2111	NC_003888.3	2269374	2270258	+	885	206
SCO2112	NC_003888.3	2270305	2270952	-	648	521
SCO2113	NC_003888.3	2271144	2271647	+	504	2274
SCO2114	NC_003888.3	2271664	2271915	-	252	1371
SCO2115	NC_003888.3	2272073	2273425	-	1353	2313
SCO2116	NC_003888.3	2273596	2276427	+	2832	904
SCO2117	NC_003888.3	2276703	2278607	+	1905	275
SCO2118	NC_003888.3	2278559	2279554	-	996	731
SCO2119	NC_003888.3	2279638	2280666	-	1029	136
SCO2120	NC_003888.3	2280718	2281365	-	648	179
SCO2121	NC_003888.3	2281433	2282674	-	1242	409
SCO2122	NC_003888.3	2282715	2283503	-	789	421
SCO2123	NC_003888.3	2283639	2284442	+	804	434
SCO2124	NC_003888.3	2284435	2285052	+	618	589
SCO2125	NC_003888.3	2285077	2285838	-	762	199
SCO2126	NC_003888.3	2285983	2286936	-	954	1395
SCO2127	NC_003888.3	2286991	2287566	-	576	720
SCO2128	NC_003888.3	2287637	2288911	-	1275	141
SCO2129	NC_003888.3	2289023	2289457	-	435	477
SCO2130	NC_003888.3	2289595	2290392	-	798	80
SCO2131	NC_003888.3	2290703	2292499	+	1797	315
SCO2132	NC_003888.3	2292487	2293725	-	1239	458
SCO2133	NC_003888.3	2293882	2295147	+	1266	1231
SCO2134	NC_003888.3	2295175	2296332	-	1158	691
SCO2135	NC_003888.3	2296454	2297470	-	1017	2300
SCO2136	NC_003888.3	2297707	2298750	-	1044	272
SCO2137	NC_003888.3	2298982	2300325	-	1344	527
SCO2138	NC_003888.3	2300388	2300627	-	240	239
SCO2139	NC_003888.3	2300785	2301555	+	771	166
SCO2140	NC_003888.3	2301552	2301833	+	282	393
SCO2141	NC_003888.3	2301983	2302306	+	324	206
SCO2142	NC_003888.3	2302365	2303729	+	1365	89
SCO2143	NC_003888.3	2303726	2304391	+	666	26
SCO2144	NC_003888.3	2304481	2305890	+	1410	27
SCO2145	NC_003888.3	2305901	2307199	+	1299	102
SCO2146	NC_003888.3	2307076	2308506	-	1431	946
SCO2147	NC_003888.3	2308851	2309915	-	1065	543
SCO2148	NC_003888.3	2310047	2311684	-	1638	7023
SCO2149	NC_003888.3	2311681	2312742	-	1062	6400
SCO2150	NC_003888.3	2312739	2313548	-	810	6319
SCO2151	NC_003888.3	2313623	2314243	-	621	3253
SCO2152	NC_003888.3	2314453	2314854	+	402	1826
SCO2153	NC_003888.3	2314942	2316216	-	1275	10761
SCO2154	NC_003888.3	2316363	2316761	-	399	1317
SCO2155	NC_003888.3	2316758	2318494	-	1737	7537
SCO2156	NC_003888.3	2318491	2319450	-	960	6031
SCO2157	NC_003888.3	2319777	2321159	+	1383	730
SCO2158	NC_003888.3	2321282	2322298	-	1017	830
SCO2159	NC_003888.3	2322389	2322598	+	210	403
SCO2160	NC_003888.3	2322715	2324265	+	1551	1422
SCO2161	NC_003888.3	2324368	2324724	-	357	3533
SCO2162	NC_003888.3	2325064	2326248	+	1185	1677
SCO2164	NC_003888.3	2326327	2329452	-	3126	731
SCO2165	NC_003888.3	2329632	2330315	-	684	229
SCO2166	NC_003888.3	2330312	2331562	-	1251	605
SCO2167	NC_003888.3	2331727	2332011	-	285	1361
SCO2168	NC_003888.3	2332033	2332812	-	780	2857
SCO2169	NC_003888.3	2332994	2333749	+	756	706
SCO2170	NC_003888.3	2333833	2334534	+	702	398
SCO2171	NC_003888.3	2334636	2335724	+	1089	1848
SCO2172	NC_003888.3	2335755	2336003	-	249	529
SCO2173	NC_003888.3	2336218	2337411	+	1194	631
SCO2174	NC_003888.3	2337400	2338170	-	771	422
SCO2175	NC_003888.3	2338274	2339347	+	1074	462
SCO2176	NC_003888.3	2339770	2340510	-	741	112
SCO2177	NC_003888.3	2340571	2341353	+	783	54
SCO2178	NC_003888.3	2341371	2342219	-	849	130
SCO2179	NC_003888.3	2342474	2344027	+	1554	2370
SCO2180	NC_003888.3	2344272	2345732	+	1461	8325
SCO2181	NC_003888.3	2345796	2347568	+	1773	8105
SCO2182	NC_003888.3	2347778	2348401	+	624	551
SCO2183	NC_003888.3	2348740	2351439	+	2700	3663
SCO2184	NC_003888.3	2351510	2352493	+	984	146
SCO2185	NC_003888.3	2352501	2352923	+	423	13
SCO2186	NC_003888.3	2352920	2353624	+	705	816
SCO2187	NC_003888.3	2353659	2354585	-	927	1280
SCO2188	NC_003888.3	2355010	2355858	+	849	167
SCO2189	NC_003888.3	2355882	2356391	-	510	135
SCO2190	NC_003888.3	2356470	2357579	+	1110	396
SCO2191	NC_003888.3	2357793	2359196	+	1404	415
SCO2192	NC_003888.3	2359257	2360720	-	1464	941
SCO2193	NC_003888.3	2360955	2361752	+	798	735
SCO2194	NC_003888.3	2361907	2362860	+	954	1163
SCO2195	NC_003888.3	2363105	2363320	+	216	369
SCO2196	NC_003888.3	2363402	2364106	+	705	1663
SCO2197	NC_003888.3	2364217	2364684	-	468	247
SCO2198	NC_003888.3	2364905	2366314	+	1410	6063
SCO2199	NC_003888.3	2366476	2366745	+	270	137
SCO2200	NC_003888.3	2366795	2367634	-	840	260
SCO2201	NC_003888.3	2367728	2368099	+	372	279
SCO2202	NC_003888.3	2368178	2369092	+	915	458
SCO2203	NC_003888.3	2369102	2369680	+	579	197
SCO2204	NC_003888.3	2369767	2370954	+	1188	1900
SCO2205	NC_003888.3	2371009	2371323	-	315	4078
SCO2206	NC_003888.3	2371456	2371857	+	402	164
SCO2207	NC_003888.3	2371976	2372671	+	696	1790
SCO2208	NC_003888.3	2372674	2373546	-	873	1076
SCO2209	NC_003888.3	2373658	2374182	+	525	123
SCO2210	NC_003888.3	2374319	2375350	+	1032	356
SCO2211	NC_003888.3	2375406	2376335	+	930	499
SCO2212	NC_003888.3	2376423	2376545	+	123	109
SCO2213	NC_003888.3	2376676	2377257	+	582	153
SCO2214	NC_003888.3	2377262	2378362	+	1101	103
SCO2215	NC_003888.3	2378415	2379692	+	1278	89
SCO2216	NC_003888.3	2379677	2380330	+	654	111
SCO2217	NC_003888.3	2380490	2381995	+	1506	3121
SCO2218	NC_003888.3	2382072	2382518	-	447	246
SCO2219	NC_003888.3	2382545	2383162	+	618	398
SCO2220	NC_003888.3	2383230	2385161	+	1932	2497
SCO2221	NC_003888.3	2385265	2386155	+	891	127
SCO2222	NC_003888.3	2386152	2387246	+	1095	42
SCO2223	NC_003888.3	2387313	2388005	+	693	67
SCO2224	NC_003888.3	2388002	2388466	+	465	94
SCO2225	NC_003888.3	2388485	2388844	-	360	270
SCO2226	NC_003888.3	2388900	2394296	-	5397	188
SCO2227	NC_003888.3	2394422	2394982	-	561	42
SCO2228	NC_003888.3	2395074	2396807	-	1734	230
SCO2229	NC_003888.3	2396944	2397855	-	912	139
SCO2230	NC_003888.3	2397869	2398873	-	1005	185
SCO2231	NC_003888.3	2398988	2400259	-	1272	836
SCO2232	NC_003888.3	2400651	2401685	+	1035	569
SCO2233	NC_003888.3	2401780	2402643	+	864	645
SCO2234	NC_003888.3	2402769	2405768	-	3000	2208
SCO2235	NC_003888.3	2405942	2406205	+	264	1992
SCO2236	NC_003888.3	2406202	2406456	+	255	2141
SCO2237	NC_003888.3	2406519	2406965	+	447	1830
SCO2238	NC_003888.3	2406988	2408829	-	1842	2560
SCO2239	NC_003888.3	2408840	2409466	-	627	132
SCO2240	NC_003888.3	2409463	2410131	-	669	275
SCO2241	NC_003888.3	2410423	2411784	+	1362	960
SCO2242	NC_003888.3	2411818	2412264	-	447	121
SCO2243	NC_003888.3	2412355	2412933	+	579	178
SCO2244	NC_003888.3	2412958	2415018	-	2061	275
SCO2245	NC_003888.3	2415027	2415236	-	210	59
SCO2246	NC_003888.3	2415308	2416084	-	777	176
SCO2247	NC_003888.3	2416129	2416314	-	186	9
SCO2248	NC_003888.3	2416596	2417093	+	498	767
SCO2249	NC_003888.3	2417492	2417722	+	231	217
SCO2250	NC_003888.3	2417879	2418706	+	828	229
SCO2251	NC_003888.3	2418753	2419427	+	675	275
SCO2252	NC_003888.3	2419411	2419632	-	222	78
SCO2253	NC_003888.3	2419629	2420483	-	855	284
SCO2254	NC_003888.3	2420563	2421804	-	1242	47
SCO2255	NC_003888.3	2421926	2422978	-	1053	536
SCO2256	NC_003888.3	2423298	2424173	+	876	626
SCO2257	NC_003888.3	2424293	2425390	+	1098	588
SCO2258	NC_003888.3	2425387	2426211	+	825	363
SCO2259	NC_003888.3	2426233	2430237	-	4005	1201
SCO2260	NC_003888.3	2430388	2431185	+	798	142
SCO2261	NC_003888.3	2431192	2431449	-	258	100
SCO2262	NC_003888.3	2431446	2432165	-	720	381
SCO2263	NC_003888.3	2432297	2432911	+	615	219
SCO2264	NC_003888.3	2433311	2434606	+	1296	581
SCO2265	NC_003888.3	2434607	2434885	-	279	208
SCO2266	NC_003888.3	2434908	2435765	+	858	405
SCO2267	NC_003888.3	2435930	2436577	+	648	4001
SCO2268	NC_003888.3	2436593	2437237	-	645	1458
SCO2269	NC_003888.3	2437246	2438073	-	828	1060
SCO2270	NC_003888.3	2438127	2439746	-	1620	1211
SCO2271	NC_003888.3	2439787	2441220	-	1434	592
SCO2272	NC_003888.3	2441324	2442376	+	1053	472
SCO2273	NC_003888.3	2442373	2443464	+	1092	167
SCO2274	NC_003888.3	2443461	2444303	+	843	186
SCO2275	NC_003888.3	2444536	2445690	+	1155	580
SCO2276	NC_003888.3	2445705	2446967	+	1263	295
SCO2277	NC_003888.3	2446970	2447842	+	873	224
SCO2278	NC_003888.3	2447904	2448791	+	888	438
SCO2279	NC_003888.3	2448807	2449538	-	732	775
SCO2280	NC_003888.3	2449644	2450291	-	648	119
SCO2281	NC_003888.3	2450354	2451040	-	687	140
SCO2282	NC_003888.3	2451048	2452028	-	981	186
SCO2283	NC_003888.3	2452574	2453629	-	1056	113
SCO2284	NC_003888.3	2453707	2454993	-	1287	318
SCO2285	NC_003888.3	2455103	2456158	+	1056	135
SCO2286	NC_003888.3	2456145	2457821	-	1677	51
SCO2287	NC_003888.3	2457954	2458745	+	792	486
SCO2288	NC_003888.3	2459004	2459330	-	327	1808
SCO2289	NC_003888.3	2459484	2460026	+	543	603
SCO2290	NC_003888.3	2460057	2460398	+	342	285
SCO2291	NC_003888.3	2460463	2461470	-	1008	111
SCO2292	NC_003888.3	2461505	2462512	-	1008	71
SCOs01	NC_003888.3	2462887	2463312	-	426	46418
SCO2293	NC_003888.3	2463222	2464202	-	981	23
SCO2294	NC_003888.3	2464222	2465058	-	837	22
SCO2295	NC_003888.3	2465169	2465930	+	762	48
SCO2296	NC_003888.3	2465927	2466541	+	615	10
SCO2297	NC_003888.3	2466581	2467363	+	783	175
SCO2298	NC_003888.3	2467437	2468096	+	660	533
SCO2299	NC_003888.3	2468071	2469564	-	1494	857
SCO2300	NC_003888.3	2469576	2470166	-	591	674
SCO2301	NC_003888.3	2470316	2471173	-	858	562
SCO2302	NC_003888.3	2471382	2472650	+	1269	1428
SCO2303	NC_003888.3	2472748	2472915	+	168	668
SCO2304	NC_003888.3	2473023	2474024	-	1002	166
SCO2305	NC_003888.3	2474063	2474989	+	927	51
SCO2306	NC_003888.3	2474986	2475702	+	717	28
SCO2307	NC_003888.3	2475740	2476969	+	1230	126
SCO2308	NC_003888.3	2477055	2477687	+	633	144
SCO2309	NC_003888.3	2478172	2479641	-	1470	453
SCO2310	NC_003888.3	2479917	2481674	+	1758	74
SCO2311	NC_003888.3	2481918	2483546	+	1629	8145
SCO2312	NC_003888.3	2483562	2484278	+	717	1168
SCO2313	NC_003888.3	2484289	2485299	+	1011	686
SCO2314	NC_003888.3	2485458	2486327	+	870	1416
SCO2315	NC_003888.3	2486429	2486722	+	294	50
SCO2316	NC_003888.3	2486736	2487833	-	1098	287
SCO2317	NC_003888.3	2487830	2488564	-	735	193
SCO2318	NC_003888.3	2488558	2490054	-	1497	350
SCO2319	NC_003888.3	2490169	2490921	+	753	259
SCO2320	NC_003888.3	2490934	2491818	-	885	189
SCO2321	NC_003888.3	2491926	2493185	+	1260	776
SCO2322	NC_003888.3	2493182	2493844	+	663	205
SCO2323	NC_003888.3	2493924	2495063	+	1140	88
SCO2324	NC_003888.3	2495060	2496751	+	1692	126
SCO2325	NC_003888.3	2496748	2497599	+	852	60
SCO2326	NC_003888.3	2497804	2498268	+	465	139
SCO2327	NC_003888.3	2498289	2498675	-	387	62
SCO2328	NC_003888.3	2498914	2499570	+	657	108
SCO2329	NC_003888.3	2499573	2500535	-	963	105
SCO2330	NC_003888.3	2500697	2501287	+	591	172
SCO2331	NC_003888.3	2501284	2501697	-	414	191
SCO2332	NC_003888.3	2501757	2502536	+	780	46
SCO2333	NC_003888.3	2502545	2502709	+	165	10
SCO2334	NC_003888.3	2502808	2504463	+	1656	65
SCO2335	NC_003888.3	2504417	2506702	-	2286	665
SCO2336	NC_003888.3	2506906	2508294	+	1389	45
SCO2337	NC_003888.3	2508324	2508884	+	561	335
SCO2338	NC_003888.3	2508881	2509552	+	672	669
SCO2339	NC_003888.3	2509609	2510091	-	483	354
SCO2340	NC_003888.3	2510090	2510497	+	408	382
SCO2341	NC_003888.3	2510508	2511071	-	564	256
SCO2342	NC_003888.3	2511076	2511747	-	672	84
SCO2343	NC_003888.3	2511913	2512446	+	534	219
SCO2344	NC_003888.3	2512483	2514552	-	2070	820
SCO2345	NC_003888.3	2514601	2515959	+	1359	529
SCO2346	NC_003888.3	2515998	2516663	-	666	103
SCO2347	NC_003888.3	2516812	2517393	-	582	58
SCO2348	NC_003888.3	2517893	2518537	+	645	7
SCO2349	NC_003888.3	2518626	2520308	+	1683	478
SCO2350	NC_003888.3	2520564	2521025	+	462	106
SCO2351	NC_003888.3	2521200	2521838	+	639	529
SCO2352	NC_003888.3	2521928	2522161	-	234	284
SCO2353	NC_003888.3	2522166	2522807	-	642	596
SCO2354	NC_003888.3	2522814	2523149	+	336	84
SCOt10	NC_003888.3	2523200	2523274	-	75	16
SCO2355	NC_003888.3	2523500	2524270	+	771	49
SCO2356	NC_003888.3	2524342	2525745	+	1404	561
SCO2357	NC_003888.3	2525802	2526020	+	219	371
SCO2358	NC_003888.3	2526064	2526702	-	639	374
SCO2359	NC_003888.3	2526699	2527817	-	1119	567
SCO2360	NC_003888.3	2527923	2528804	+	882	111
SCO2361	NC_003888.3	2528722	2529534	-	813	112
SCO2362	NC_003888.3	2529534	2532053	-	2520	265
SCO2363	NC_003888.3	2532132	2533298	-	1167	243
SCO2364	NC_003888.3	2533506	2534501	+	996	746
SCO2365	NC_003888.3	2534532	2535269	-	738	304
SCO2366	NC_003888.3	2535421	2536563	-	1143	1674
SCO2367	NC_003888.3	2536613	2537188	-	576	863
SCO2368	NC_003888.3	2537340	2537915	-	576	3595
SCO2369	NC_003888.3	2538097	2538555	-	459	1501
SCO2370	NC_003888.3	2538717	2539196	-	480	4557
SCO2371	NC_003888.3	2539576	2542332	+	2757	5104
SCO2372	NC_003888.3	2542460	2542768	-	309	299
SCO2373	NC_003888.3	2543007	2544617	-	1611	974
SCO2374	NC_003888.3	2544733	2545416	+	684	114
SCO2375	NC_003888.3	2545471	2546691	+	1221	463
SCO2376	NC_003888.3	2546758	2547645	+	888	163
SCO2377	NC_003888.3	2547771	2548787	-	1017	165
SCO2378	NC_003888.3	2548784	2549374	-	591	99
SCO2379	NC_003888.3	2549404	2549871	+	468	202
SCO2380	NC_003888.3	2549891	2550712	+	822	307
SCO2381	NC_003888.3	2550901	2551737	+	837	306
SCO2382	NC_003888.3	2551706	2551903	+	198	491
SCO2383	NC_003888.3	2552256	2556893	+	4638	637
SCO2384	NC_003888.3	2556886	2557305	+	420	350
SCO2385	NC_003888.3	2557326	2557982	-	657	175
SCO2386	NC_003888.3	2558045	2559250	+	1206	236
SCO2387	NC_003888.3	2559340	2560290	+	951	2337
SCO2388	NC_003888.3	2560307	2561338	+	1032	2491
SCO2389	NC_003888.3	2561443	2561691	+	249	2241
SCO2390	NC_003888.3	2561801	2563090	+	1290	4071
SCO2391	NC_003888.3	2563192	2563686	-	495	1622
SCO2392	NC_003888.3	2563944	2564861	+	918	157
SCO2393	NC_003888.3	2564900	2565871	+	972	264
SCO2394	NC_003888.3	2566207	2567460	+	1254	240
SCO2395	NC_003888.3	2567432	2568256	-	825	535
SCO2396	NC_003888.3	2568352	2568771	-	420	359
SCO2397	NC_003888.3	2568888	2569982	-	1095	972
SCO2398	NC_003888.3	2570030	2570485	+	456	77
SCO2399	NC_003888.3	2570546	2571427	+	882	57
SCO2400	NC_003888.3	2571440	2572189	-	750	96
SCO2401	NC_003888.3	2572404	2573570	+	1167	87
SCO2402	NC_003888.3	2573567	2574583	+	1017	36
SCO2403	NC_003888.3	2574719	2575690	+	972	43
SCO2404	NC_003888.3	2575786	2576895	+	1110	320
SCO2405	NC_003888.3	2576928	2578505	+	1578	384
SCO2406	NC_003888.3	2578502	2579746	+	1245	263
SCO2407	NC_003888.3	2579862	2580962	+	1101	297
SCO2408	NC_003888.3	2581080	2582705	+	1626	382
SCO2409	NC_003888.3	2582733	2583998	-	1266	74
SCO2410	NC_003888.3	2584078	2584839	-	762	18
SCO2411	NC_003888.3	2584886	2585440	-	555	12
SCO2412	NC_003888.3	2585467	2586126	-	660	18
SCO2413	NC_003888.3	2586123	2586635	-	513	3
SCO2414	NC_003888.3	2586632	2587933	-	1302	17
SCO2415	NC_003888.3	2587930	2589171	-	1242	25
SCO2416	NC_003888.3	2589168	2590181	-	1014	14
SCO2417	NC_003888.3	2590178	2591233	-	1056	14
SCO2418	NC_003888.3	2591230	2592294	-	1065	17
SCO2419	NC_003888.3	2592291	2593547	-	1257	13
SCO2420	NC_003888.3	2593549	2594355	-	807	22
SCO2421	NC_003888.3	2594362	2595126	-	765	13
SCO2422	NC_003888.3	2595123	2596154	-	1032	29
SCO2423	NC_003888.3	2596787	2597419	+	633	29
SCO2424	NC_003888.3	2597556	2599157	+	1602	32
SCO2425	NC_003888.3	2599192	2600133	+	942	31
SCO2426	NC_003888.3	2600318	2601529	+	1212	91
SCO2427	NC_003888.3	2601569	2602537	-	969	49
SCO2428	NC_003888.3	2602879	2604447	+	1569	18
SCO2429	NC_003888.3	2604477	2605133	-	657	8
SCO2430	NC_003888.3	2605550	2608351	+	2802	525
SCO2431	NC_003888.3	2608364	2609869	-	1506	49
SCO2432	NC_003888.3	2609897	2610760	-	864	110
SCO2433	NC_003888.3	2610757	2611698	-	942	37
SCO2434	NC_003888.3	2611695	2613053	-	1359	22
SCO2435	NC_003888.3	2613322	2613849	+	528	179
SCO2436	NC_003888.3	2613846	2615030	+	1185	218
SCO2437	NC_003888.3	2615125	2616336	+	1212	213
SCO2438	NC_003888.3	2616326	2617732	+	1407	377
SCO2439	NC_003888.3	2617790	2618650	-	861	606
SCO2440	NC_003888.3	2618647	2619420	-	774	304
SCO2441	NC_003888.3	2619547	2620149	+	603	83
SCO2442	NC_003888.3	2620174	2620881	-	708	183
SCO2443	NC_003888.3	2621091	2622488	+	1398	31
SCO2444	NC_003888.3	2622576	2624033	+	1458	231
SCO2445	NC_003888.3	2624026	2625402	+	1377	86
SCO2446	NC_003888.3	2625671	2629333	-	3663	202
SCO2447	NC_003888.3	2629512	2629973	+	462	530
SCO2448	NC_003888.3	2629970	2631634	+	1665	1490
SCO2449	NC_003888.3	2631773	2632795	+	1023	156
SCO2450	NC_003888.3	2632795	2636844	+	4050	433
SCO2451	NC_003888.3	2637014	2638096	+	1083	3767
SCO2452	NC_003888.3	2638132	2639559	+	1428	1541
SCO2453	NC_003888.3	2639574	2639792	+	219	149
SCO2454	NC_003888.3	2640001	2642232	+	2232	200
SCO2455	NC_003888.3	2642344	2643939	-	1596	86
SCO2456	NC_003888.3	2644019	2644459	-	441	46
SCO2457	NC_003888.3	2644511	2644906	-	396	60
SCO2458	NC_003888.3	2644903	2645421	-	519	120
SCO2459	NC_003888.3	2645538	2646071	+	534	61
SCO2460	NC_003888.3	2646222	2646650	-	429	75
SCOt11	NC_003888.3	2646860	2646933	-	74	11
SCOt12	NC_003888.3	2647132	2647204	-	73	18
SCOt13	NC_003888.3	2647210	2647282	-	73	28
SCO2461	NC_003888.3	2647411	2647737	+	327	1352
SCO2462	NC_003888.3	2647782	2649230	+	1449	1877
SCO2463	NC_003888.3	2649370	2651103	+	1734	1134
SCO2464	NC_003888.3	2651103	2653031	+	1929	646
SCO2465	NC_003888.3	2653137	2654327	-	1191	249
SCO2466	NC_003888.3	2654512	2655117	+	606	148
SCO2467	NC_003888.3	2655114	2656115	+	1002	111
SCO2468	NC_003888.3	2656131	2658056	-	1926	556
SCO2469	NC_003888.3	2658086	2659351	-	1266	667
SCO2470	NC_003888.3	2659480	2660754	-	1275	149
SCO2471	NC_003888.3	2660813	2661637	-	825	23
SCO2472	NC_003888.3	2661818	2662504	+	687	32
SCO2473	NC_003888.3	2662608	2665067	+	2460	25
SCO2474	NC_003888.3	2665196	2666839	+	1644	12
SCO2475	NC_003888.3	2666940	2667869	+	930	238
SCO2476	NC_003888.3	2667818	2668561	-	744	112
SCO2477	NC_003888.3	2668624	2669391	-	768	61
SCO2478	NC_003888.3	2669524	2670111	-	588	32
SCO2479	NC_003888.3	2670321	2670863	+	543	1394
SCO2480	NC_003888.3	2670982	2671614	+	633	746
SCO2481	NC_003888.3	2671552	2671941	-	390	92
SCO2482	NC_003888.3	2672049	2672984	+	936	73
SCO2483	NC_003888.3	2673003	2673713	+	711	97
SCO2484	NC_003888.3	2673743	2675029	+	1287	118
SCO2485	NC_003888.3	2675087	2675869	-	783	26
SCO2486	NC_003888.3	2676046	2677278	+	1233	22
SCO2487	NC_003888.3	2677278	2679893	+	2616	37
SCO2488	NC_003888.3	2679896	2680291	+	396	4
SCO2489	NC_003888.3	2680340	2680924	+	585	126
SCO2490	NC_003888.3	2681005	2681772	+	768	68
SCO2491	NC_003888.3	2681817	2682749	-	933	277
SCO2492	NC_003888.3	2682933	2683406	+	474	689
SCO2493	NC_003888.3	2683469	2684677	-	1209	310
SCO2494	NC_003888.3	2684904	2687633	-	2730	906
SCO2495	NC_003888.3	2688116	2689894	+	1779	587
SCO2496	NC_003888.3	2690016	2690456	+	441	200
SCO2497	NC_003888.3	2690476	2691696	-	1221	477
SCO2498	NC_003888.3	2691805	2693250	+	1446	220
SCO2499	NC_003888.3	2693290	2697708	-	4419	3665
SCO2500	NC_003888.3	2697734	2698408	+	675	2843
SCO2501	NC_003888.3	2698679	2699575	-	897	397
SCO2502	NC_003888.3	2699686	2701119	+	1434	18
SCO2503	NC_003888.3	2701242	2702318	+	1077	73
SCO2504	NC_003888.3	2702461	2703843	-	1383	2890
SCO2505	NC_003888.3	2704004	2704990	+	987	5589
