# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/D45_3.txt" "align/D45_3.bam" 
Geneid	Chr	Start	End	Strand	Length	align/D45_3.bam
SCO1549	NC_003888.3	1657259	1658197	-	939	86
SCO1550	NC_003888.3	1658389	1658571	-	183	156
SCO1551	NC_003888.3	1659144	1660625	+	1482	1579
SCO1552	NC_003888.3	1660653	1661471	-	819	235
SCO1553	NC_003888.3	1661473	1662705	-	1233	624
SCO1554	NC_003888.3	1662892	1666530	-	3639	3159
SCO1555	NC_003888.3	1666903	1668129	-	1227	414
SCO1556	NC_003888.3	1668247	1668945	-	699	395
SCO1557	NC_003888.3	1669056	1669883	-	828	696
SCO1558	NC_003888.3	1669950	1670672	-	723	349
SCO1559	NC_003888.3	1670684	1671790	-	1107	734
SCO1560	NC_003888.3	1672166	1672816	-	651	64
SCO1561	NC_003888.3	1672877	1673236	+	360	145
SCO1562	NC_003888.3	1673238	1673654	+	417	214
SCO1563	NC_003888.3	1673718	1674203	-	486	455
SCO1564	NC_003888.3	1674273	1674773	-	501	105
SCO1565	NC_003888.3	1674848	1676026	-	1179	114
SCO1566	NC_003888.3	1676402	1677073	+	672	1256
SCO1567	NC_003888.3	1677149	1678681	-	1533	181
SCO1568	NC_003888.3	1678678	1679247	-	570	128
SCO1569	NC_003888.3	1679335	1680387	-	1053	1041
SCO1570	NC_003888.3	1680432	1681859	-	1428	2532
SCO1571	NC_003888.3	1681979	1682566	+	588	282
SCO1572	NC_003888.3	1682570	1683286	+	717	1066
SCO1573	NC_003888.3	1683419	1684756	+	1338	947
SCO1574	NC_003888.3	1684919	1685587	+	669	383
SCO1575	NC_003888.3	1685643	1686383	+	741	235
SCO1576	NC_003888.3	1686616	1687155	-	540	444
SCO1577	NC_003888.3	1687163	1688371	-	1209	905
SCO1578	NC_003888.3	1688368	1689288	-	921	477
SCO1579	NC_003888.3	1689285	1690436	-	1152	710
SCO1580	NC_003888.3	1690433	1691461	-	1029	547
SCO1581	NC_003888.3	1691495	1692058	+	564	102
SCO1582	NC_003888.3	1692048	1692572	-	525	100
SCO1583	NC_003888.3	1692635	1695109	-	2475	53
SCO1584	NC_003888.3	1695246	1695704	+	459	89
SCO1585	NC_003888.3	1695667	1696287	-	621	181
SCO1586	NC_003888.3	1696361	1696801	-	441	253
SCO1587	NC_003888.3	1696856	1698298	-	1443	104
SCO1588	NC_003888.3	1698333	1699295	+	963	466
SCO1589	NC_003888.3	1699336	1699530	+	195	1184
SCO1590	NC_003888.3	1699562	1700806	-	1245	3246
SCO1591	NC_003888.3	1700944	1701855	+	912	588
SCO1592	NC_003888.3	1701846	1702388	-	543	89
SCO1593	NC_003888.3	1702516	1703856	-	1341	143
SCO1594	NC_003888.3	1704284	1706806	-	2523	4618
SCO1595	NC_003888.3	1706806	1707882	-	1077	3570
SCO1596	NC_003888.3	1708109	1709248	-	1140	2109
SCO1597	NC_003888.3	1709299	1710147	-	849	451
SCO1598	NC_003888.3	1710331	1710714	-	384	5506
SCO1599	NC_003888.3	1710812	1711006	-	195	5161
SCO1600	NC_003888.3	1711121	1711774	-	654	14917
SCO1601	NC_003888.3	1712158	1712523	+	366	246
SCO1602	NC_003888.3	1712548	1713279	-	732	237
SCO1603	NC_003888.3	1713855	1715099	+	1245	182
SCO1604	NC_003888.3	1715151	1715678	-	528	23
SCO1605	NC_003888.3	1715196	1715549	+	354	0
SCO1606	NC_003888.3	1715926	1716894	+	969	58
SCO1607	NC_003888.3	1716909	1718090	-	1182	245
SCO1608	NC_003888.3	1718087	1718800	-	714	232
SCO1609	NC_003888.3	1720261	1721469	+	1209	287
SCO1610	NC_003888.3	1721502	1722461	-	960	454
SCO1611	NC_003888.3	1722499	1723281	-	783	548
SCO1612	NC_003888.3	1723278	1724729	-	1452	500
SCO1613	NC_003888.3	1724726	1726114	-	1389	636
SCO1614	NC_003888.3	1726192	1726902	+	711	137
SCO1615	NC_003888.3	1726978	1727706	+	729	146
SCO1616	NC_003888.3	1728427	1729404	-	978	385
SCO1617	NC_003888.3	1729475	1730659	+	1185	157
SCO1618	NC_003888.3	1730586	1731305	-	720	583
SCO1619	NC_003888.3	1731316	1731885	-	570	886
SCO1620	NC_003888.3	1732259	1734874	-	2616	150
SCO1621	NC_003888.3	1734867	1735961	-	1095	83
SCO1622	NC_003888.3	1736156	1737061	+	906	527
SCO1623	NC_003888.3	1737167	1738009	+	843	5231
SCO1624	NC_003888.3	1738408	1738998	-	591	1232
SCO1625	NC_003888.3	1739097	1740071	+	975	1615
SCO1626	NC_003888.3	1740065	1741561	-	1497	5556
SCO1627	NC_003888.3	1741637	1742167	-	531	1528
SCO1628	NC_003888.3	1742238	1742654	-	417	1189
SCO1629	NC_003888.3	1742651	1743058	-	408	1174
SCO1630	NC_003888.3	1743055	1744680	-	1626	3783
SCO1631	NC_003888.3	1745083	1747935	-	2853	6316
SCO1632	NC_003888.3	1748003	1748953	-	951	1755
SCO1633	NC_003888.3	1749001	1749288	-	288	3049
SCO1634	NC_003888.3	1749565	1749759	-	195	165
SCO1635	NC_003888.3	1749770	1750081	-	312	317
SCO1636	NC_003888.3	1750078	1751160	-	1083	1275
SCO1637	NC_003888.3	1751179	1752132	-	954	1116
SCO1638	NC_003888.3	1752270	1752641	-	372	1762
SCO1639	NC_003888.3	1752701	1753708	-	1008	1582
SCO1640	NC_003888.3	1753890	1755251	-	1362	9371
SCO1641	NC_003888.3	1755261	1756478	-	1218	79
SCO1642	NC_003888.3	1756582	1757634	+	1053	706
SCO1643	NC_003888.3	1757649	1758413	-	765	4412
SCO1644	NC_003888.3	1758475	1759320	-	846	5562
SCO1645	NC_003888.3	1759272	1759865	-	594	3759
SCO1646	NC_003888.3	1759899	1760117	-	219	4046
SCO1647	NC_003888.3	1760296	1761789	-	1494	6354
SCO1648	NC_003888.3	1762040	1763806	-	1767	13807
SCO1649	NC_003888.3	1764052	1764357	+	306	207
SCO1650	NC_003888.3	1764432	1765022	-	591	235
SCO1651	NC_003888.3	1765257	1766159	-	903	1575
SCO1652	NC_003888.3	1766287	1767411	-	1125	347
SCO1653	NC_003888.3	1768285	1769139	+	855	618
SCO1654	NC_003888.3	1769156	1769827	+	672	687
SCO1655	NC_003888.3	1769946	1771550	-	1605	819
SCO1656	NC_003888.3	1771994	1772695	-	702	1268
SCO1657	NC_003888.3	1772821	1776333	-	3513	6546
SCO1658	NC_003888.3	1776737	1777501	+	765	132
SCO1659	NC_003888.3	1777840	1778634	+	795	100
SCO1660	NC_003888.3	1778726	1780264	+	1539	460
SCO1661	NC_003888.3	1780273	1781889	+	1617	337
SCO1662	NC_003888.3	1782041	1783042	+	1002	1040
SCO1663	NC_003888.3	1783107	1784336	-	1230	1761
SCO1664	NC_003888.3	1784440	1785237	-	798	529
SCO1665	NC_003888.3	1785234	1785824	-	591	1078
SCO1666	NC_003888.3	1785910	1786596	-	687	607
SCO1667	NC_003888.3	1786649	1787653	+	1005	746
SCO1668	NC_003888.3	1787668	1788456	-	789	2696
SCO1669	NC_003888.3	1788693	1789748	-	1056	1638
SCO1670	NC_003888.3	1789862	1790848	+	987	561
SCO1671	NC_003888.3	1790845	1793163	+	2319	2579
SCO1672	NC_003888.3	1793226	1794029	-	804	1979
SCO1673	NC_003888.3	1794077	1794265	+	189	648
SCO1674	NC_003888.3	1794330	1795109	-	780	12146
SCO1675	NC_003888.3	1795289	1795522	-	234	16508
SCO1676	NC_003888.3	1795655	1796992	-	1338	965
SCOt08	NC_003888.3	1797166	1797253	+	88	8
SCO1677	NC_003888.3	1797321	1797695	+	375	132
SCO1678	NC_003888.3	1797723	1798424	-	702	277
SCO1679	NC_003888.3	1798561	1799088	+	528	62
SCO1680	NC_003888.3	1799183	1800580	+	1398	108
SCO1681	NC_003888.3	1800620	1801381	+	762	52
SCO1682	NC_003888.3	1801378	1802454	+	1077	27
SCO1683	NC_003888.3	1802529	1804067	-	1539	26
SCO1684	NC_003888.3	1804126	1805142	-	1017	36
SCO1685	NC_003888.3	1805384	1806277	+	894	217
SCO1686	NC_003888.3	1806297	1806842	+	546	32
SCO1687	NC_003888.3	1807505	1807897	+	393	33
SCO1688	NC_003888.3	1807900	1808241	+	342	24
SCO1689	NC_003888.3	1808375	1809400	+	1026	59
SCO1690	NC_003888.3	1809406	1810620	+	1215	157
SCO1691	NC_003888.3	1810631	1811386	-	756	453
SCO1692	NC_003888.3	1811383	1812153	-	771	37
SCO1693	NC_003888.3	1812259	1813536	-	1278	99
SCO1694	NC_003888.3	1813616	1816297	-	2682	215
SCO1695	NC_003888.3	1816646	1817248	+	603	331
SCO1696	NC_003888.3	1817349	1818083	+	735	558
SCO1697	NC_003888.3	1818351	1818878	-	528	380
SCO1698	NC_003888.3	1819009	1819470	+	462	505
SCO1699	NC_003888.3	1819461	1820108	-	648	2477
SCO1700	NC_003888.3	1820169	1820483	-	315	2044
SCO1701	NC_003888.3	1820559	1821710	-	1152	104
SCO1702	NC_003888.3	1821800	1822441	+	642	135
SCO1703	NC_003888.3	1822505	1823218	+	714	192
SCO1704	NC_003888.3	1823292	1824266	+	975	303
SCO1705	NC_003888.3	1824517	1825614	-	1098	153
SCO1706	NC_003888.3	1825638	1827026	-	1389	212
SCO1707	NC_003888.3	1827151	1828488	-	1338	122
SCO1708	NC_003888.3	1828712	1828912	-	201	37
SCO1709	NC_003888.3	1828915	1830306	-	1392	67
SCO1710	NC_003888.3	1830346	1831797	-	1452	75
SCO1711	NC_003888.3	1831921	1834164	-	2244	122
SCO1712	NC_003888.3	1834289	1834906	-	618	47
SCO1713	NC_003888.3	1834903	1835007	-	105	8
SCO1714	NC_003888.3	1835004	1835573	-	570	170
SCO1715	NC_003888.3	1835784	1837109	+	1326	732
SCO1716	NC_003888.3	1837136	1837885	+	750	209
SCO1717	NC_003888.3	1837893	1839068	+	1176	334
SCO1718	NC_003888.3	1839094	1839798	-	705	125
SCO1719	NC_003888.3	1839862	1840860	+	999	68
SCO1720	NC_003888.3	1840857	1841672	+	816	358
SCO1721	NC_003888.3	1841897	1842166	-	270	1143
SCO1722	NC_003888.3	1842282	1843034	-	753	69
SCO1723	NC_003888.3	1843031	1843588	-	558	52
SCO1724	NC_003888.3	1843788	1845440	+	1653	387
SCO1725	NC_003888.3	1845443	1846249	-	807	169
SCO1726	NC_003888.3	1846435	1847529	+	1095	1268
SCO1727	NC_003888.3	1847564	1848331	+	768	374
SCO1728	NC_003888.3	1848412	1848816	-	405	168
SCO1729	NC_003888.3	1848849	1849775	+	927	458
SCO1730	NC_003888.3	1849756	1850256	+	501	203
SCO1731	NC_003888.3	1850270	1850887	-	618	555
SCO1732	NC_003888.3	1851039	1851173	+	135	574
SCO1733	NC_003888.3	1851199	1851669	-	471	733
SCO1734	NC_003888.3	1851848	1852918	+	1071	566
SCO1735	NC_003888.3	1853026	1853898	-	873	60
SCO1736	NC_003888.3	1854078	1854524	-	447	30
SCO1737	NC_003888.3	1854635	1855009	+	375	100
SCO1738	NC_003888.3	1855022	1855990	-	969	117
SCO1739	NC_003888.3	1855987	1859544	-	3558	251
SCO1740	NC_003888.3	1859718	1860782	+	1065	2452
SCO1741	NC_003888.3	1860897	1861979	-	1083	174
SCO1742	NC_003888.3	1862249	1863169	+	921	69
SCO1743	NC_003888.3	1863166	1863885	+	720	56
SCO1744	NC_003888.3	1863882	1865048	+	1167	87
SCO1745	NC_003888.3	1865045	1865710	+	666	93
SCO1746	NC_003888.3	1865777	1866679	-	903	252
SCO1747	NC_003888.3	1866887	1867738	-	852	278
SCO1748	NC_003888.3	1867793	1868989	-	1197	329
SCO1749	NC_003888.3	1869279	1869719	+	441	3136
SCO1750	NC_003888.3	1869768	1870961	-	1194	1114
SCO1751	NC_003888.3	1871317	1872921	-	1605	474
SCO1752	NC_003888.3	1873183	1874373	+	1191	393
SCO1753	NC_003888.3	1874625	1875647	+	1023	1732
SCO1754	NC_003888.3	1875760	1875975	-	216	387
SCO1755	NC_003888.3	1876319	1877167	-	849	260
SCO1756	NC_003888.3	1877577	1878374	+	798	4111
SCO1757	NC_003888.3	1878448	1878741	+	294	1030
SCO1758	NC_003888.3	1878820	1880298	-	1479	3189
SCO1759	NC_003888.3	1880373	1881035	-	663	499
SCO1760	NC_003888.3	1881032	1881727	-	696	961
SCO1761	NC_003888.3	1882015	1883100	-	1086	426
SCO1762	NC_003888.3	1883097	1883459	-	363	273
SCO1763	NC_003888.3	1883621	1884016	+	396	190
SCO1764	NC_003888.3	1884039	1884800	+	762	316
SCO1765	NC_003888.3	1884726	1885478	-	753	545
SCO1766	NC_003888.3	1885483	1886502	-	1020	1416
SCO1767	NC_003888.3	1886499	1887218	-	720	1214
SCO1768	NC_003888.3	1887312	1888427	-	1116	1250
SCO1769	NC_003888.3	1888427	1889098	-	672	362
SCO1770	NC_003888.3	1889095	1889889	-	795	288
SCO1771	NC_003888.3	1890421	1890978	-	558	1198
SCO1772	NC_003888.3	1890975	1891997	-	1023	3557
SCO1773	NC_003888.3	1892493	1893608	-	1116	858
SCO1774	NC_003888.3	1893751	1895799	-	2049	4110
SCO1775	NC_003888.3	1895948	1896583	-	636	584
SCO1776	NC_003888.3	1896671	1898320	-	1650	1169
SCO1777	NC_003888.3	1898870	1900708	+	1839	2435
SCO1778	NC_003888.3	1901295	1902941	+	1647	263
SCO1779	NC_003888.3	1902964	1904169	-	1206	501
SCO1780	NC_003888.3	1904440	1906158	-	1719	2412
SCO1781	NC_003888.3	1906323	1907228	-	906	517
SCO1782	NC_003888.3	1907225	1908040	-	816	438
SCO1783	NC_003888.3	1908048	1908395	-	348	235
SCO1784	NC_003888.3	1908438	1908785	+	348	135
SCO1785	NC_003888.3	1908769	1909674	-	906	468
SCO1786	NC_003888.3	1909671	1910798	-	1128	435
SCO1787	NC_003888.3	1910795	1911841	-	1047	1078
SCO1788	NC_003888.3	1911986	1913017	-	1032	689
SCO1789	NC_003888.3	1913090	1914382	+	1293	251
SCO1790	NC_003888.3	1914468	1915100	-	633	498
SCO1791	NC_003888.3	1915097	1916356	-	1260	1713
SCOr04	NC_003888.3	1916451	1916571	-	121	0
SCOr05	NC_003888.3	1916673	1919795	-	3123	13686
SCOr06	NC_003888.3	1920072	1921599	-	1528	957
SCO1792	NC_003888.3	1922128	1922769	-	642	131
SCO1793	NC_003888.3	1922916	1923698	+	783	700
SCO1794	NC_003888.3	1923750	1924289	+	540	1168
SCO1795	NC_003888.3	1924446	1924952	+	507	3249
SCO1796	NC_003888.3	1925094	1926053	-	960	5712
SCO1797	NC_003888.3	1926231	1926662	-	432	969
SCO1798	NC_003888.3	1926717	1927514	-	798	1052
SCO1799	NC_003888.3	1927668	1928447	+	780	773
SCO1800	NC_003888.3	1928593	1928841	-	249	13676
SCO1801	NC_003888.3	1929011	1929643	-	633	157
SCO1802	NC_003888.3	1929645	1930823	-	1179	274
SCO1803	NC_003888.3	1931041	1931736	+	696	9
SCO1804	NC_003888.3	1931736	1932812	+	1077	29
SCO1805	NC_003888.3	1933166	1933900	+	735	537
SCO1806	NC_003888.3	1934027	1936657	-	2631	2151
SCO1807	NC_003888.3	1936844	1938898	+	2055	272
SCO1808	NC_003888.3	1939010	1940242	+	1233	1227
SCO1809	NC_003888.3	1940314	1940832	-	519	2371
SCO1810	NC_003888.3	1940925	1941131	-	207	158
SCO1811	NC_003888.3	1941315	1941431	-	117	72
SCO1812	NC_003888.3	1941516	1942781	-	1266	169
SCO1813	NC_003888.3	1942957	1943649	+	693	274
SCO1814	NC_003888.3	1943738	1944505	-	768	1321
SCO1815	NC_003888.3	1944511	1945215	-	705	1627
SCO1816	NC_003888.3	1945493	1947016	+	1524	998
SCO1817	NC_003888.3	1947013	1948407	+	1395	747
SCO1818	NC_003888.3	1948453	1949721	+	1269	3008
SCO1819	NC_003888.3	1949812	1950093	-	282	9061
SCO1820	NC_003888.3	1950275	1950754	+	480	290
SCO1821	NC_003888.3	1951220	1952245	-	1026	1197
SCO1822	NC_003888.3	1952378	1954012	-	1635	370
SCO1823	NC_003888.3	1954009	1954383	-	375	118
SCO1824	NC_003888.3	1954737	1956275	+	1539	367
SCO1825	NC_003888.3	1956291	1956929	+	639	84
SCO1826	NC_003888.3	1956980	1957987	+	1008	147
SCO1827	NC_003888.3	1958139	1959125	+	987	677
SCO1828	NC_003888.3	1959189	1959422	+	234	1055
SCO1829	NC_003888.3	1959486	1960358	+	873	1061
SCO1830	NC_003888.3	1960424	1962211	+	1788	253
SCO1831	NC_003888.3	1962217	1962972	+	756	1097
SCO1832	NC_003888.3	1963007	1963594	-	588	1871
SCO1833	NC_003888.3	1963591	1964112	-	522	2243
SCO1834	NC_003888.3	1964268	1964651	-	384	2564
SCO1835	NC_003888.3	1964648	1964833	-	186	1344
SCO1836	NC_003888.3	1964896	1965378	-	483	4124
SCO1837	NC_003888.3	1965466	1966254	+	789	721
SCO1838	NC_003888.3	1966275	1967078	-	804	2132
SCO1839	NC_003888.3	1967236	1967457	-	222	0
SCO1840	NC_003888.3	1967794	1969392	-	1599	6556
SCO1841	NC_003888.3	1969468	1970052	+	585	2885
SCO1842	NC_003888.3	1970085	1971428	-	1344	3150
SCO1843	NC_003888.3	1971753	1972880	-	1128	2787
SCO1844	NC_003888.3	1972995	1973717	-	723	498
SCO1845	NC_003888.3	1973943	1975214	+	1272	430
SCO1846	NC_003888.3	1975249	1975470	+	222	39
SCO1847	NC_003888.3	1975869	1976852	+	984	854
SCO1848	NC_003888.3	1976849	1978357	+	1509	1150
SCO1849	NC_003888.3	1978354	1982007	+	3654	3127
SCO1850	NC_003888.3	1982004	1984022	+	2019	1667
SCO1851	NC_003888.3	1984022	1984621	+	600	486
SCO1852	NC_003888.3	1984618	1986078	+	1461	757
SCO1853	NC_003888.3	1986075	1986806	+	732	437
SCO1854	NC_003888.3	1986827	1987555	-	729	634
SCO1855	NC_003888.3	1987618	1988463	+	846	522
SCO1856	NC_003888.3	1988469	1989701	+	1233	758
SCO1857	NC_003888.3	1989779	1991530	+	1752	1318
SCO1858	NC_003888.3	1991527	1992444	+	918	799
SCO1859	NC_003888.3	1992485	1993504	+	1020	1579
SCO1860	NC_003888.3	1994050	1995057	-	1008	5215
SCO1861	NC_003888.3	1995204	1996295	-	1092	202
SCO1862	NC_003888.3	1996351	1996833	-	483	186
SCO1863	NC_003888.3	1996945	1998165	-	1221	943
SCO1864	NC_003888.3	1998468	1998980	+	513	2888
SCO1865	NC_003888.3	1999110	2000381	+	1272	4409
SCO1866	NC_003888.3	2000500	2000898	+	399	1562
SCO1867	NC_003888.3	2000962	2001804	+	843	2428
SCO1868	NC_003888.3	2001886	2002980	-	1095	1090
SCO1869	NC_003888.3	2003040	2003753	-	714	636
SCO1870	NC_003888.3	2003846	2004454	-	609	357
SCO1871	NC_003888.3	2004598	2006127	-	1530	601
SCO1872	NC_003888.3	2006250	2007023	+	774	274
SCO1873	NC_003888.3	2007027	2007497	+	471	396
SCO1874	NC_003888.3	2007606	2007818	+	213	95
SCO1875	NC_003888.3	2007938	2009392	+	1455	1118
SCO1876	NC_003888.3	2009469	2010041	+	573	120
SCO1877	NC_003888.3	2010038	2010712	+	675	58
SCO1878	NC_003888.3	2010725	2011522	-	798	92
SCO1879	NC_003888.3	2011647	2012792	-	1146	10
SCO1880	NC_003888.3	2012859	2014193	-	1335	35
SCO1881	NC_003888.3	2014258	2015061	-	804	15
SCO1882	NC_003888.3	2015194	2016552	-	1359	51
SCO1883	NC_003888.3	2016628	2018172	-	1545	90
SCO1884	NC_003888.3	2018169	2019014	-	846	24
SCO1885	NC_003888.3	2019011	2020168	-	1158	27
SCO1886	NC_003888.3	2020165	2021061	-	897	24
SCO1887	NC_003888.3	2021058	2021993	-	936	40
SCO1888	NC_003888.3	2022115	2023845	-	1731	69
SCO1889	NC_003888.3	2023842	2024750	-	909	66
SCO1890	NC_003888.3	2024747	2025415	-	669	70
SCO1891	NC_003888.3	2025584	2026183	-	600	23
SCO1892	NC_003888.3	2026325	2027572	+	1248	76
SCO1893	NC_003888.3	2027561	2027953	-	393	120
SCO1894	NC_003888.3	2028038	2029210	-	1173	103
SCO1895	NC_003888.3	2029207	2030157	-	951	86
SCO1896	NC_003888.3	2030392	2031201	+	810	114
SCO1897	NC_003888.3	2031485	2032261	+	777	5098
SCO1898	NC_003888.3	2032364	2033734	+	1371	5390
SCO1899	NC_003888.3	2033731	2034675	+	945	2393
SCO1900	NC_003888.3	2034672	2035550	+	879	2987
SCO1901	NC_003888.3	2035547	2036536	+	990	5004
SCO1902	NC_003888.3	2036555	2036944	+	390	930
SCO1903	NC_003888.3	2037030	2038229	+	1200	4088
SCO1904	NC_003888.3	2038269	2038877	-	609	4401
SCO1905	NC_003888.3	2038879	2040480	-	1602	21687
SCO1906	NC_003888.3	2040979	2042451	-	1473	575
SCO1907	NC_003888.3	2042736	2044163	-	1428	2227
SCO1908	NC_003888.3	2044380	2046221	+	1842	809
SCO1909	NC_003888.3	2046252	2046959	-	708	196
SCO1910	NC_003888.3	2047117	2047614	-	498	1439
SCO1911	NC_003888.3	2047611	2048108	-	498	1649
SCO1912	NC_003888.3	2048176	2049129	+	954	580
SCO1913	NC_003888.3	2049114	2049380	-	267	370
SCO1914	NC_003888.3	2049519	2049689	+	171	82
SCO1915	NC_003888.3	2049745	2050473	+	729	306
SCO1916	NC_003888.3	2050524	2051513	-	990	1872
SCO1917	NC_003888.3	2051523	2052116	-	594	63
SCO1918	NC_003888.3	2052116	2052436	-	321	22
SCO1919	NC_003888.3	2052555	2052887	-	333	1325
SCO1920	NC_003888.3	2052884	2053354	-	471	1933
SCO1921	NC_003888.3	2053372	2054628	-	1257	3611
SCO1922	NC_003888.3	2054625	2055389	-	765	3239
SCO1923	NC_003888.3	2055397	2055714	-	318	863
SCO1924	NC_003888.3	2055711	2056895	-	1185	3153
SCO1925	NC_003888.3	2056956	2058377	-	1422	6603
SCO1926	NC_003888.3	2058374	2059132	-	759	2459
SCO1927	NC_003888.3	2059304	2060092	+	789	179
SCO1928	NC_003888.3	2060169	2061092	+	924	508
SCO1929	NC_003888.3	2061089	2061898	+	810	286
SCO1930	NC_003888.3	2061905	2062975	+	1071	792
SCO1931	NC_003888.3	2062930	2063709	-	780	294
SCO1932	NC_003888.3	2063713	2064819	-	1107	372
SCO1933	NC_003888.3	2064934	2065368	-	435	287
SCO1934	NC_003888.3	2065389	2066411	-	1023	942
SCO1935	NC_003888.3	2066713	2068800	+	2088	14298
SCO1936	NC_003888.3	2068835	2069953	+	1119	8079
SCO1937	NC_003888.3	2069957	2071480	+	1524	5608
SCO1938	NC_003888.3	2071477	2072532	+	1056	2630
SCO1939	NC_003888.3	2072529	2073314	+	786	2316
SCO1940	NC_003888.3	2073377	2074144	-	768	821
SCO1941	NC_003888.3	2074235	2075203	-	969	841
SCO1942	NC_003888.3	2075313	2076968	-	1656	1303
SCO1943	NC_003888.3	2077084	2077419	-	336	1516
SCO1944	NC_003888.3	2077633	2077941	-	309	720
SCO1945	NC_003888.3	2078015	2078791	-	777	3654
SCO1946	NC_003888.3	2078797	2080008	-	1212	3991
SCO1947	NC_003888.3	2080143	2081153	-	1011	12913
SCO1948	NC_003888.3	2081381	2084380	-	3000	1570
SCO1949	NC_003888.3	2084468	2084563	-	96	7
SCO1950	NC_003888.3	2084575	2085561	-	987	3906
SCO1951	NC_003888.3	2085558	2086649	-	1092	1349
SCO1952	NC_003888.3	2086657	2087673	-	1017	1052
SCO1953	NC_003888.3	2087670	2089856	-	2187	1468
SCO1954	NC_003888.3	2090209	2091159	+	951	138
SCO1955	NC_003888.3	2091177	2091602	-	426	76
SCO1956	NC_003888.3	2091825	2092931	+	1107	724
SCO1957	NC_003888.3	2092928	2093836	+	909	583
SCO1958	NC_003888.3	2094274	2097318	-	3045	3117
SCO1959	NC_003888.3	2097542	2098228	+	687	517
SCO1960	NC_003888.3	2098289	2098945	+	657	956
SCO1961	NC_003888.3	2099149	2099622	-	474	342
SCO1962	NC_003888.3	2099713	2100813	-	1101	1027
SCO1963	NC_003888.3	2100946	2101947	-	1002	337
SCO1964	NC_003888.3	2102200	2104215	-	2016	1357
SCO1965	NC_003888.3	2104340	2104918	-	579	1754
SCO1966	NC_003888.3	2105061	2107199	-	2139	2766
SCO1967	NC_003888.3	2107239	2108117	-	879	684
SCO1968	NC_003888.3	2108409	2109278	+	870	6395
SCO1969	NC_003888.3	2109316	2109870	+	555	1524
SCO1970	NC_003888.3	2109895	2110338	-	444	477
SCO1971	NC_003888.3	2110465	2111370	+	906	328
SCO1972	NC_003888.3	2111367	2112302	+	936	502
SCO1973	NC_003888.3	2112316	2113110	-	795	793
SCO1975	NC_003888.3	2114500	2115132	-	633	287
SCO1976	NC_003888.3	2115347	2115826	+	480	111
SCO1977	NC_003888.3	2115989	2117479	+	1491	655
SCO1978	NC_003888.3	2117630	2117905	-	276	47
SCO1979	NC_003888.3	2117906	2118766	-	861	315
SCO1980	NC_003888.3	2119050	2119763	+	714	1040
SCO1981	NC_003888.3	2119760	2120194	+	435	754
SCO1982	NC_003888.3	2120213	2120395	-	183	729
SCO1983	NC_003888.3	2120551	2121240	-	690	65
SCO1984	NC_003888.3	2121378	2122775	-	1398	83
SCO1985	NC_003888.3	2122775	2124631	-	1857	163
SCO1986	NC_003888.3	2124799	2125581	-	783	488
SCO1987	NC_003888.3	2125668	2126168	+	501	540
SCO1988	NC_003888.3	2126165	2126716	+	552	647
SCO1989	NC_003888.3	2126802	2127773	-	972	835
SCO1990	NC_003888.3	2127828	2128541	-	714	151
SCO1991	NC_003888.3	2128658	2129218	+	561	533
SCO1992	NC_003888.3	2129270	2129776	-	507	406
SCO1993	NC_003888.3	2129838	2130524	-	687	743
SCO1994	NC_003888.3	2130596	2130952	+	357	213
SCO1995	NC_003888.3	2130961	2131341	-	381	347
SCO1996	NC_003888.3	2131391	2131993	-	603	464
SCO1997	NC_003888.3	2132026	2132964	-	939	1521
SCO1998	NC_003888.3	2133121	2134629	-	1509	39616
SCO1999	NC_003888.3	2135154	2135816	+	663	278
SCO2000	NC_003888.3	2135883	2138879	+	2997	584
SCO2001	NC_003888.3	2138930	2140723	-	1794	1531
SCO2002	NC_003888.3	2141042	2141398	-	357	365
SCO2003	NC_003888.3	2141659	2144382	-	2724	3243
SCO2004	NC_003888.3	2144639	2146918	+	2280	857
SCO2005	NC_003888.3	2146962	2147501	+	540	390
SCO2006	NC_003888.3	2147859	2148404	+	546	143
SCO2007	NC_003888.3	2148401	2148997	+	597	53
SCO2008	NC_003888.3	2149264	2150520	+	1257	2152
SCO2009	NC_003888.3	2150635	2151567	+	933	184
SCO2010	NC_003888.3	2151573	2153399	+	1827	191
SCO2011	NC_003888.3	2153405	2154334	+	930	167
SCO2012	NC_003888.3	2154331	2155047	+	717	153
SCO2013	NC_003888.3	2155123	2155779	-	657	1359
SCOt09	NC_003888.3	2155886	2155958	+	73	50
SCO2014	NC_003888.3	2156337	2157773	-	1437	2147
SCO2015	NC_003888.3	2157990	2159798	+	1809	197
SCO2016	NC_003888.3	2159817	2161229	-	1413	653
SCO2017	NC_003888.3	2161226	2162584	-	1359	355
SCO2018	NC_003888.3	2162746	2165253	-	2508	693
SCO2019	NC_003888.3	2165374	2165724	-	351	246
SCO2020	NC_003888.3	2165859	2166758	+	900	156
SCO2021	NC_003888.3	2166835	2167428	+	594	468
SCO2022	NC_003888.3	2167476	2168234	-	759	262
SCO2023	NC_003888.3	2168433	2169291	+	859	51
SCO2024	NC_003888.3	2169305	2170222	+	918	106
SCO2025	NC_003888.3	2170384	2171847	-	1464	2554
